Sample_ID,Sample_Description,SUVA254,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
K010 T,Kit 010 Transition,1.8624,0.020346,0.99855,0.020795,0.99487,0.97838,5.6056,1.4145,1.0877,0.42961,0.43721
K010 UP,Kit 010 Upland,1.7763,0.023069,0.9982,0.019225,0.99736,1.2,6.1895,1.4733,1.0719,0.41637,0.42202
K010 W,Kit 010 Wetland,1.0347,0.01808,0.99569,0.026254,0.97597,0.68865,4.735,1.6314,1.0639,0.56361,0.56994
K013 T,Kit 013 Transition,1.6892,0.022522,0.99822,0.020875,0.99126,1.0789,5.4736,1.4975,1.2275,0.44872,0.45585
K013 UP,Kit 013 Upland,1.8425,0.01884,0.99843,0.016486,0.9988,1.1428,4.9534,1.3338,1.0905,0.36319,0.37327
K013 W,Kit 013 Wetland,1.2023,0.024325,0.99751,0.022735,0.99094,1.0699,6.509,1.5213,0.61893,0.49643,0.50605
K018 T,Kit 018 Transition,1.5647,0.019677,0.99765,0.016159,0.99974,1.2177,5.3555,1.542,0.98564,0.50797,0.51586
K018 T rep,Kit 018 Transition (Rep),1.4793,0.020703,0.99754,0.017195,0.99967,1.204,5.6504,1.5532,1.0044,0.49793,0.51787
K018 UP,Kit 018 Upland,1.4756,0.029069,0.99759,0.018352,0.99902,1.584,7.4134,1.5369,0.8643,0.46571,0.46714
K018 W,Kit 018 Wetland,0.88777,0.02045,0.99553,0.018108,0.99973,1.1293,6.3623,1.6417,1.3743,0.65873,0.67194
K019 T,Kit 019 Transition,2.633,0.01582,0.9979,0.018018,0.99794,0.87799,4.8205,1.4154,0.92254,0.47192,0.47636
K019 UP,Kit 019 Upland,1.8071,0.022068,0.99844,0.018233,0.99758,1.2103,5.8706,1.1849,0.9473,0.46797,0.47298
K019 W,Kit 019 Wetland,1.8106,0.016032,0.9968,0.019271,0.99345,0.83191,4.2106,1.7025,1.0268,0.7017,0.71809
K025 T,Kit 025 Transition,1.6742,0.019563,0.9984,0.018803,0.99863,1.0404,5.5746,1.526,1.1518,0.41577,0.42629
K025 UP,Kit 025 Upland,0.91439,0.017095,0.99497,0.021079,0.99975,0.81098,6.356,1.6753,1.6427,0.38339,0.38826
K025 W,Kit 025 Wetland,1.4166,0.0195,0.99789,0.021439,0.99794,0.90954,6.1909,1.5955,1.1601,0.53474,0.53635
K026 T,Kit 026 Transition,2.2722,0.017138,0.99859,0.018541,0.99882,0.92435,4.9972,1.4814,1.1472,0.39735,0.40278
K026 UP,Kit 026 Upland,2.2936,0.014432,0.99668,0.017394,0.99937,0.82975,4.7775,1.4807,1.0173,0.53136,0.53862
K026 W,Kit 026 Wetland,1.2373,0.016739,0.99668,0.020201,0.99484,0.82862,5.4808,1.5371,1.1883,0.59356,0.60536
K026 W rep,Kit 026 Wetland (Rep),1.1907,0.016987,0.99678,0.020424,0.99537,0.83173,5.6012,1.552,1.2217,0.59642,0.60255
K035 T,Kit 035 Transition,1.3127,0.021668,0.99771,0.019271,0.99315,1.1244,5.2559,1.5426,1.0222,0.46963,0.47929
K035 UP,Kit 035 Upland,1.7164,0.017869,0.99798,0.017214,0.99892,1.0381,5.1929,1.4274,1.1616,0.44058,0.44088
K035 UP rep,Kit 035 Upland (Rep),1.7087,0.018099,0.99804,0.017995,0.99859,1.0058,5.3974,1.4337,1.1509,0.42153,0.42528
K035 W,Kit 035 Wetland,0.76164,0.035671,0.99763,0.022336,0.99716,1.597,8.9975,1.6581,0.55334,0.53288,0.54117
K048 T,Kit 048 Transition,1.4778,0.020557,0.99788,0.021126,0.9963,0.97309,5.943,1.5543,0.99947,0.54227,0.54673
K048 UP,Kit 048 Upland,1.4814,0.018042,0.99673,0.017666,0.99967,1.0213,5.5766,1.3684,1.1167,0.43374,0.44676
