VALUE,EVT_NAME,LFRDB,EVT_FUEL,EVT_Fuel_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,255,255,1,1,1
4401,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,4401,2701,Sh Alaska Arctic Coastal Sedge-Dwarf-Shrubland,Shrub,Shrubland,762,Dwarf Shrubland,LF 40: Sedge Meadow,Shrub-dominated,Dwarf Shrubland,Deciduous,255,205,112,1,0.803922,0.439216
4402,Alaska Arctic Floodplain Forest,4402,2715,Sh Alaska Arctic Floodplain,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 203: Balsam Poplar,Shrub-dominated,Shrubland,Deciduous shrubland,18,76,135,0.070588,0.298039,0.529412
4403,Alaska Arctic Large River Floodplain Forest,4403,2714,Tr Alaska Arctic Large River Floodplain,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 203: Balsam Poplar,Shrub-dominated,Shrubland,Deciduous shrubland,18,76,135,0.070588,0.298039,0.529412
4404,Alaska Arctic Mesic Alder Shrubland,4404,2638,Sh Alaska Arctic Mesic Alder Shrubland,Shrub,Shrubland,750,Alder Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
4405,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,4405,2704,Sh Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,Shrub,Shrubland,775,Shrub Tundra,SRM 911: Lichen Tundra,Shrub-dominated,Dwarf Shrubland,Deciduous,255,37,13,1,0.145098,0.05098
4406,Alaska Arctic Tidal Flat,4406,2710,Sps Alaska Arctic Tidal Flat,Sparse,Sparsely Vegetated,779,Tidal Flat,LF 50: Tidal Flats and Marshes,No dominant lifeform,Sparsely Vegetated,Sparsely vegetated,255,153,10,1,0.6,0.039216
4407,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,4407,2645,He Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,Herb,Grassland,767,Herbaceous Meadow,SRM 902: Alpine Herb,Herbaceous / Nonvascular-dominated,Herbaceous - forbland,Perennial forb,255,211,119,1,0.827451,0.466667
4408,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,4408,4408,Sh Alaska Sub-boreal Mesic Subalpine Alder Shrubland,Shrub,Shrubland,752,Avalanche Slope Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
4409,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,4409,2678,Tr Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,Tree,Conifer,784,White Spruce Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,182,250,227,0.713725,0.980392,0.890196
4410,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,4410,2677,Tr Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,Tree,Conifer,784,White Spruce Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,182,250,227,0.713725,0.980392,0.890196
4411,Alaskan Pacific Acidic Shrub Peatland,4411,4411,Sh Alaskan Pacific Acidic Shrub-Sedge Peatland,Shrub,Riparian,773,Shrub and Herbaceous Peatlands,LF 71: Shrub and Herbaceous Peatlands,Shrub-dominated,Shrubland,Deciduous,133,39,8,0.521569,0.152941,0.031373
4412,Alaskan Pacific Alpine-Subalpine Dwarf-shrubland & Heath,4412,4412,Sh Alaskan Pacific Alpine-Subalpine Dwarf-shrubland & Heath,Shrub,Shrubland,762,Dwarf Shrubland,SRM 912: Low Scrub Shrub Birch-Ericaceous,Shrub-dominated,Herbaceous - Shrub Steppe,Perennial Graminoid,212,129,34,0.831373,0.505882,0.133333
4413,Alaskan Pacific Floodplain Conifer Forest,4413,4413,Tr Alaskan Pacific Floodplain Conifer Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 203: Balsam Poplar,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,18,76,135,0.070588,0.298039,0.529412
4414,Alaskan Pacific Maritime Alpine Floodplain Shrubland,4414,2676,Sh Alaskan Pacific Maritime Alpine Floodplain,Shrub,Riparian,751,Alpine Floodplain,SAF 203: Balsam Poplar,No Dominant Life Form,Sparsely Vegetated,Unconsolidated material,18,76,135,0.070588,0.298039,0.529412
4415,Alaskan Pacific Maritime Avalanche Slope Shrubland,4415,2680,Sh Alaskan Pacific Maritime Avalanche Slope Shrubland,Shrub,Shrubland,752,Avalanche Slope Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
4416,Alaskan Pacific Maritime Coastal Meadow and Slough-Levee,4416,2665,He Alaskan Pacific Maritime Coastal Meadow and Slough-Levee,Herb,Grassland,754,Beach Meadow,SRM 903: Beach Wildrye-Mixed Forb,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,255,0,0,1,0,0
4417,Alaskan Pacific Maritime Mesic Herbaceous Meadow,4417,2653,He Alaskan Pacific Maritime Mesic Herbaceous Meadow,Herb,Grassland,767,Herbaceous Meadow,SRM 915: Mixed Herb-Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - forbland,Perennial forb,255,85,33,1,0.333333,0.129412
4418,Alaskan Pacific Maritime Mountain Hemlock-Shore Pine Peatland,4418,4418,Tr Alaskan Pacific Maritime Mountain Hemlock-Shore Pine Peatland,Tree,Conifer,683,Peatland Forests,LF 71: Shrub and Herbaceous Peatlands,Tree-dominated,Open Tree Canopy,Evergreen,133,39,8,0.521569,0.152941,0.031373
4419,Alaskan Pacific Maritime Western Hemlock Forest,4419,2646,Tr Alaskan Pacific Maritime Western Hemlock Forest,Tree,Conifer,782,Western Hemlock-Yellow-cedar Forest,SAF 227: Western Redcedar-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,4,45,117,0.015686,0.176471,0.458824
4420,Alaskan Pacific Mesic Western Hemlock-Yellow-cedar Forest,4420,2040,Tr Alaskan Pacific Mesic Western Hemlock-Yellow-cedar Forest,Tree,Conifer,782,Western Hemlock-Yellow-cedar Forest,SAF 224: Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,82,0,0,0.321569,0
4421,Alaskan Pacific Mountain Hemlock Forest and Subalpine Woodland ,4421,4421,Tr Alaskan Pacific Mountain Hemlock Forest and Subalpine Woodland ,Tree,Conifer,627,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,92,0,0,0.360784,0
4422,Alaskan Pacific Poorly Drained Conifer Woodland,4422,2681,Tr Alaskan Pacific Poorly Drained Conifer Woodland,Tree,Conifer,683,Peatland Forests,LF 72: Peatland Forests,Tree-dominated,Open Tree Canopy,Evergreen,79,36,26,0.309804,0.141176,0.101961
4423,Alaskan Pacific Sitka Spruce Forest and Beach Ridge,4423,4423,Tr Alaskan Pacific Sitka Spruce Forest and Beach Ridge,Tree,Conifer,638,Sitka Spruce Forest,SAF 223: Sitka Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,117,0,0,0.458824,0
4424,Alaskan Pacific Wet Low Shrubland & Floodplain Wetland,4424,4424,Sh Alaskan Pacific Wet Low Shrubland & Floodplain Wetland,Shrub,Riparian,772,Shrub and Herbaceous Floodplain Wetland,SRM 909: Freshwater Marsh,Shrub-dominated,Shrubland,Deciduous,255,153,0,1,0.6,0
4425,Alaskan Pacific-Aleutian Alder-Salmonberry-Copperbush Shrubland,4425,4425,Sh Alaskan Pacific-Aleutian Alder-Salmonberry-Copperbush Shrubland,Shrub,Shrubland,750,Alder Shrubland,SRM 901: Alder,Shrub-dominated,Shrubland,Deciduous shrubland,146,237,224,0.572549,0.929412,0.878431
4426,Alaskan Pacific-Aleutian Coastal Dune Beach and Beach Meadow,4426,4426,He Alaskan Pacific-Aleutian Coastal Dune Beach and Beach Meadow,Herb,Grassland,754,Beach Meadow,SRM 903: Beach Wildrye-Mixed Forb,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial Graminoid,255,0,0,1,0,0
4427,Alaskan Pacific-Aleutian Fen and Wet Meadow,4427,4427,He Alaskan Pacific-Aleutian Fen and Wet Meadow,Herb,Riparian,783,Wet Meadow,LF 40: Sedge Meadow,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,255,205,112,1,0.803922,0.439216
4428,Alaskan Pacific-Aleutian Rocky Coastline and Sea Cliff,4428,2794,Sps Pacific Maritime Sparsely Vegetated,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
4429,Aleutian Ericaceous Dwarf-shrubland Heath and Fell-field,4429,4429,Sh Aleutian Ericaceous Dwarf-shrubland Heath and Fell-field,Shrub,Shrubland,762,Dwarf Shrubland,LF 72: Peatland Forests,Shrub-dominated,Herbaceous - Shrub Steppe,Perennial Graminoid,79,36,26,0.309804,0.141176,0.101961
4430,Aleutian Mesic Herbaceous Meadow,4430,2651,He Aleutian Mesic Herbaceous Meadow,Herb,Grassland,767,Herbaceous Meadow,SRM 915: Mixed Herb-Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - forbland,Perennial forb,255,85,33,1,0.333333,0.129412
4431,Aleutian Mesic-Wet Willow Shrubland,4431,2640,Sh Aleutian Mesic-Wet Willow Shrubland,Shrub,Shrubland,786,Willow Shrubland,SRM 921: Willow,Shrub-dominated,Shrubland,Deciduous shrubland,73,175,188,0.286275,0.686275,0.737255
4432,Aleutian Volcanic Rock and Talus,4432,2791,Sps Aleutian Sparsely Vegetated,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
4434,North American Arctic Bedrock and Talus,4434,2792,Sps Arctic Sparsely Vegetated,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
4435,North American Arctic Dryas Tundra,4435,4435,Sh North American Arctic Dryas Tundra,Shrub,Shrubland,775,Shrub Tundra,SRM 916: Sedge-Shrub Tundra,Shrub-dominated,Herbaceous - Shrub Steppe,Perennial Graminoid,194,68,21,0.760784,0.266667,0.082353
4436,North American Arctic Dwarf-Shrub Lichen Tundra,4436,4436,Sh North American Arctic Dwarf-Shrub Lichen Tundra,Shrub,Shrubland,762,Dwarf Shrubland,SRM 907: Dryas,Shrub-dominated,Dwarf Shrubland,Deciduous dwarf-shrubland,255,102,0,1,0.4,0
4437,North American Arctic Dwarf-shrub-Sphagnum Peatland,4437,4437,Sh North American Arctic Dwarf-shrub-Wet Sedge-Sphagnum Peatland,Shrub,Riparian,773,Shrub and Herbaceous Peatlands,LF 71: Shrub and Herbaceous Peatlands,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,133,39,8,0.521569,0.152941,0.031373
4438,North American Arctic Freshwater Marsh,4438,4438,He North American Arctic Freshwater Marsh,Herb,Riparian,765,Freshwater Marsh,SRM 909: Freshwater Marsh,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,255,153,0,1,0.6,0
4439,North American Arctic Lichen Tundra,4439,2687,He North American Arctic Lichen Tundra,Herb,Grassland,775,Shrub Tundra,SRM 911: Lichen Tundra,Herbaceous / Nonvascular-dominated,Nonvascular,Lichen,255,37,13,1,0.145098,0.05098
4440,North American Arctic Mesic Herbaceous Meadow,4440,2699,He North American Arctic Mesic Herbaceous Meadow,Herb,Grassland,767,Herbaceous Meadow,SRM 915: Mixed Herb-Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - forbland,Perennial forb,255,85,33,1,0.333333,0.129412
4441,North American Arctic Mesic Sedge-Willow Tundra,4441,2683,Sh North American Arctic Mesic Sedge-Willow Tundra,Shrub,Shrubland,775,Shrub Tundra,SRM 916: Sedge-Shrub Tundra,Shrub-dominated,Herbaceous - Shrub Steppe,Perennial Graminoid,194,68,21,0.760784,0.266667,0.082353
4442,North American Arctic Mesic-Wet Low Willow Shrubland,4442,2639,Sh North American Arctic Mesic-Wet Low Willow Shrubland,Shrub,Shrubland,786,Willow Shrubland,SRM 921: Willow,Shrub-dominated,Shrubland,Deciduous shrubland,73,175,188,0.286275,0.686275,0.737255
4443,North American Arctic Polygonal Ground Shrub-Tussock Tundra,4443,4443,Sh North American Arctic Polygonal Ground Shrub & Tussock Tundra,Shrub,Shrubland,775,Shrub Tundra,SRM 916: Sedge-Shrub Tundra,Shrub-dominated,Shrubland,Deciduous,194,68,21,0.760784,0.266667,0.082353
4444,North American Arctic Scrub Birch-Ericaceous Shrubland,4444,2682,Sh North American Arctic Scrub Birch-Ericaceous Shrubland,Shrub,Shrubland,762,Dwarf Shrubland,SRM 912: Low Scrub Shrub Birch-Ericaceous,Shrub-dominated,Shrubland,Deciduous shrubland,212,129,34,0.831373,0.505882,0.133333
4445,North American Arctic Sparse Tundra,4445,4445,Sh North American Arctic Sparse Tundra,Shrub,Shrubland,777,Sparse Tundra,SRM 907: Dryas,Shrub-dominated,Dwarf Shrubland,Deciduous dwarf-shrubland,255,102,0,1,0.4,0
4446,North American Arctic Wet Sedge Tundra and Polygonal Ground ,4446,4446,He North American Arctic Wet Sedge Tundra and Polygonal Ground ,Herb,Riparian,783,Wet Meadow,LF 40: Sedge Meadow,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,255,205,112,1,0.803922,0.439216
4447,North American Arctic-Subarctic Coastal Dune & Beach Meadow,4447,4447,He North American Arctic-Subarctic Coastal Dune & Beach,Herb,Grassland,754,Beach Meadow,SRM 903: Beach Wildrye-Mixed Forb,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial Graminoid,255,0,0,1,0,0
4448,North American Arctic-Subarctic Shrub-Tussock Tundra,4448,4448,Sh North American Arctic and Subarctic Shrub-Tussock Tundra,Shrub,Shrubland,781,Tussock Tundra,SRM 918: Tussock Tundra,Shrub-dominated,Shrubland,Deciduous,255,73,28,1,0.286275,0.109804
4449,North American Arctic-Subarctic Tidal Salt and Brackish Marsh,4449,4449,He North American Arctic-Subarctic Tidal Salt and Brackish Marsh,Herb,Riparian,780,Tidal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,255,153,10,1,0.6,0.039216
4450,North American Arctic-Subarctic Tussock Tundra,4450,4450,He North American Arctic and Subarctic Tussock Tundra,Herb,Grassland,781,Tussock Tundra,SRM 918: Tussock Tundra,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,255,73,28,1,0.286275,0.109804
4453,Western North American Boreal Alpine Dwarf-shrubland,4453,4453,Sh Western North American Boreal Alpine Dwarf-shrubland,Shrub,Shrubland,762,Dwarf Shrubland,SRM 912: Low Scrub Shrub Birch-Ericaceous,Shrub-dominated,Dwarf Shrubland,Deciduous dwarf-shrubland,212,129,34,0.831373,0.505882,0.133333
4454,Western North American Boreal Alpine Mesic Herbaceous Meadow,4454,2633,He Western North American Boreal Alpine Mesic Herbaceous Meadow,Herb,Grassland,767,Herbaceous Meadow,SRM 902: Alpine Herb,Herbaceous / Nonvascular-dominated,Herbaceous - forbland,Perennial forb,255,211,119,1,0.827451,0.466667
4455,Western North American Boreal Montane-Alpine Talus and Bedrock,4455,2793,Sps Boreal Sparsely Vegetated,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
4456,Western North American Boreal Black Spruce Bog and Dwarf-Tree Peatland,4456,2621,Tr Western North American Boreal Black Spruce Bog and Dwarf-Tree Peatland,Tree,Conifer,683,Peatland Forests,LF 72: Peatland Forests,Tree-dominated,Open Tree Canopy,Evergreen,79,36,26,0.309804,0.141176,0.101961
4457,Western North American Boreal Black Spruce-Tamarack Fen,4457,2623,Tr Western North American Boreal Black Spruce-Tamarack Fen,Tree,Conifer,758,Black Spruce Forest and Woodland,SAF 204: Black Spruce,Tree-dominated,Open Tree Canopy,Mixed,182,250,255,0.713725,0.980392,1
4458,Western North American Boreal Cliff Scree and Rock,4458,2793,Sps Boreal Sparsely Vegetated,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
4459,Western North American Boreal Dry Aspen-Steppe Bluff,4459,2606,Sh Western North American Boreal Dry Aspen-Steppe Bluff,Shrub,Shrubland,760,Dry Aspen-Steppe Bluff,SAF 217: Aspen,Tree-dominated,Sparse Tree Canopy,Deciduous sparse Tree Canopy,192,255,138,0.752941,1,0.541176
4460,Western North American Boreal Dry Grassland,4460,2612,He Western North American Boreal Dry Grassland,Herb,Grassland,759,Boreal Grassland,SRM 908: Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial Graminoid,255,114,48,1,0.447059,0.188235
4461,Western North American Boreal Freshwater Emergent Marsh,4461,4461,He Western North American Boreal Freshwater Emergent Marsh,Herb,Riparian,765,Freshwater Marsh,SRM 909: Freshwater Marsh,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,255,153,0,1,0.6,0
4462,Western North American Boreal Lowland Large River Floodplain Conifer Forest,4462,4462,Tr Western North American Boreal Lowland Large River Floodplain Conifer Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 201: White Spruce,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,18,76,135,0.070588,0.298039,0.529412
4463,Western North American Boreal Mesic Birch-Aspen Forest,4463,2605,Tr Western North American Boreal Mesic Birch-Aspen Forest,Tree,Hardwood,756,Birch-Aspen Forest,SAF 252: Paper Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,92,0,0,0.360784,0
4464,Western North American Boreal Mesic Bluejoint-Forb Meadow,4464,2721,He Western North American Boreal Mesic Bluejoint-Forb Meadow,Herb,Riparian,783,Wet Meadow,SRM 905: Bluejoint Reedgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial Graminoid,255,25,8,1,0.098039,0.031373
4465,Western North American Boreal Mesic Scrub Birch-Willow Shrubland,4465,2610,Sh Western North American Boreal Mesic Scrub Birch-Willow Shrubland,Shrub,Shrubland,786,Willow Shrubland,SRM 921: Willow,Shrub-dominated,Shrubland,Deciduous shrubland,73,175,188,0.286275,0.686275,0.737255
4466,Western North American Boreal Mesic White Spruce Forest,4466,2748,Tr Western North American Boreal Mesic White Spruce Forest,Tree,Conifer,785,White Spruce Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,182,250,227,0.713725,0.980392,0.890196
4467,Western North American Boreal Mesic-Wet Black Spruce Forest and Woodland,4467,4467,Tr Western North American Boreal Mesic-Wet Black Spruce Forest and Woodland,Tree,Conifer,758,Black Spruce Forest and Woodland,SAF 204: Black Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,182,250,227,0.713725,0.980392,0.890196
4468,Western North American Boreal Montane Floodplain Conifer Forest,4468,4468,Tr Western North American Boreal Montane Floodplain Conifer Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 201: White Spruce,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,18,76,135,0.070588,0.298039,0.529412
4469,Western North American Boreal Riparian Stringer Conifer Forest,4469,4469,Tr Western North American Boreal Riparian Stringer Conifer Forest,Tree,Riparian,770,Riparian Stringer Forest and Shrubland,SAF 201: White Spruce,Tree-dominated,Open Tree Canopy,Mixed,18,76,135,0.070588,0.298039,0.529412
4470,Western North American Boreal Shrub Floodplain,4470,2617,Sh Western North American Boreal Shrub and Herbaceous Floodplain,Shrub,Riparian,772,Shrub and Herbaceous Floodplain Wetland,SRM 909: Freshwater Marsh,Shrub-dominated,Shrubland,Deciduous,255,153,0,1,0.6,0
4471,Western North American Boreal Shrub Swamp,4471,2624,Sh Western North American Boreal Shrub Swamp,Shrub,Shrubland,774,Shrub Swamp,SRM 917: Tall Shrub Swamp,Shrub-dominated,Shrubland,Deciduous,166,76,17,0.65098,0.298039,0.066666
4472,Western North American Boreal Shrub-Sedge Bog & Acidic Fen,4472,4472,Sh Western North American Boreal Shrub-Sedge Bog & Acidic Fen,Shrub,Shrubland,762,Dwarf Shrubland,SRM 913: Low Scrub Swamp,Shrub-dominated,Dwarf Shrubland,Deciduous,150,58,12,0.588235,0.227451,0.047059
4473,Western North American Boreal Shrub-Sedge Rich and Alkaline Fen,4473,2618,Sh Western North American Boreal Shrub-Sedge Rich and Alkaline Fen,Shrub,Riparian,783,Wet Meadow,LF 40: Sedge Meadow,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,255,205,112,1,0.803922,0.439216
4474,Western North American Boreal Spruce-Lichen Woodland,4474,2602,Tr Western North American Boreal Spruce-Lichen Woodland,Tree,Conifer,778,Spruce-Lichen Woodland,SAF 204: Black Spruce,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,182,250,227,0.713725,0.980392,0.890196
4475,Western North American Boreal Treeline White Spruce Woodland,4475,2601,Tr Western North American Boreal Treeline White Spruce Woodland,Tree,Conifer,784,White Spruce Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,182,250,227,0.713725,0.980392,0.890196
4476,Western North American Boreal Wet Black Spruce-Tussock Woodland,4476,2630,Tr Western North American Boreal Wet Black Spruce-Tussock Woodland,Tree,Conifer,758,Black Spruce Forest and Woodland,SAF 204: Black Spruce,Tree-dominated,Open Tree Canopy,Evergreen,182,250,255,0.713725,0.980392,1
4477,Western North American Boreal Wet Meadow,4477,2626,He Western North American Boreal Wet Meadow,Herb,Riparian,783,Wet Meadow,LF 40: Sedge Meadow,Herbaceous/Non-vascular,Herbaceous - Grassland,Perennial Graminoid,255,205,112,1,0.803922,0.439215
4478,Western North American Boreal Treeline Hardwood-White Spruce Woodland,4475,2675,Tr Western North American Boreal Treeline Hardwood-White Spruce Woodland,Tree,Hardwood,753,Balsam Poplar-Aspen Woodland,SAF 203: Balsam Poplar,Tree-dominated,Open tree canopy,Deciduous Open Tree Canopy,18,76,135,0.070588,0.298039,0.529412
4479,Western North American Boreal Treeline White Spruce-Hardwood Woodland,4475,2641,Tr Western North American Boreal Treeline White Spruce-Hardwood Woodland,Tree,Conifer-Hardwood,785,White Spruce-Hardwood Forest and Woodland,SAF 202: White Spruce-Paper Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,159,255,128,0.623529,1,0.501961
4480,Western North American Boreal Mesic Hardwood-White Spruce Forest,4466,2787,Tr Western North American Boreal Mesic Hardwood-White Spruce Forest,Tree,Conifer-Hardwood,785,White Spruce-Hardwood Forest and Woodland,SAF 202: White Spruce-Paper Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,159,255,128,0.623529,1,0.501961
4481,Western North American Boreal Mesic White Spruce-Hardwood Forest,4466,2788,Tr Western North American Boreal Mesic White Spruce-Hardwood Forest,Tree,Conifer-Hardwood,785,White Spruce-Hardwood Forest and Woodland,SAF 202: White Spruce-Paper Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,159,255,128,0.623529,1,0.501961
4482,Alaska Sub-boreal Hardwood-White-Lutz Spruce Forest and Woodland,4410,2790,Tr Alaska Sub-boreal Hardwood-White-Lutz Spruce Forest and Woodland,Tree,Conifer-Hardwood,785,White Spruce-Hardwood Forest and Woodland,SAF 202: White Spruce-Paper Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,159,255,128,0.623529,1,0.501961
4483,Alaska Sub-boreal White-Lutz Spruce-Hardwood Forest and Woodland,4410,2667,Tr Alaska Sub-boreal White-Lutz Spruce-Hardwood Forest and Woodland,Tree,Conifer-Hardwood,785,White Spruce-Hardwood Forest and Woodland,SAF 202: White Spruce-Paper Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,159,255,128,0.623529,1,0.501961
4484,Western North American Boreal Mesic-Wet Black Spruce-Hardwood Forest and Woodland,4467,4484,Tr Western North American Boreal Mesic-Wet Black Spruce-Hardwood Forest and Woodland,Tree,Conifer-Hardwood,758,Black Spruce Forest and Woodland,SAF 204: Black Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,182,250,227,0.713725,0.980392,0.890196
4485,Alaskan Pacific Floodplain Deciduous Forest,4413,4485,Tr Alaskan Pacific Floodplain Deciduous Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 223: Sitka Spruce,Tree-dominated,Open Tree Canopy,Deciduous open tree canopy,18,76,135,0.070588,0.298039,0.529412
4486,Alaskan Pacific Floodplain Mixed Forest,4413,4486,Tr Alaskan Pacific Floodplain Mixed Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 203: Balsam Poplar,Tree-dominated,Open Tree Canopy,Mixed,18,76,135,0.070588,0.298039,0.529412
4487,Western North American Boreal Lowland Large River Floodplain Deciduous Forest,4462,4487,Tr Western North American Boreal Lowland Large River Floodplain Deciduous Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 203: Balsam Poplar,Tree-dominated,Open Tree Canopy,Deciduous open tree canopy,18,76,135,0.070588,0.298039,0.529412
4488,Western North American Boreal Lowland Large River Floodplain Mixed Forest,4462,4488,Tr Western North American Boreal Lowland Large River Floodplain Mixed Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 202: White Spruce-Paper Birch,Tree-dominated,Open Tree Canopy,Mixed,18,76,135,0.070588,0.298039,0.529412
4489,Western North American Boreal Montane Floodplain Deciduous Forest,4468,4489,Tr Western North American Boreal Montane Floodplain Deciduous Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 203: Balsam Poplar,Tree-dominated,Open Tree Canopy,Deciduous open tree canopy,18,76,135,0.070588,0.298039,0.529412
4490,Western North American Boreal Montane Floodplain Mixed Forest,4468,4490,Tr Western North American Boreal Montane Floodplain Mixed Forest,Tree,Riparian,763,Floodplain Forest and Shrubland,SAF 202: White Spruce-Paper Birch,Tree-dominated,Open Tree Canopy,Mixed,18,76,135,0.070588,0.298039,0.529412
4491,Western North American Boreal Riparian Stringer Deciduous Forest,4469,4491,Tr Western North American Boreal Riparian Stringer Deciduous Forest,Tree,Riparian,770,Riparian Stringer Forest and Shrubland,SAF 203: Balsam Poplar,Tree-dominated,Open Tree Canopy,Deciduous open tree canopy,18,76,135,0.070588,0.298039,0.529412
4492,Western North American Boreal Riparian Stringer Mixed Forest,4469,4492,Tr Western North American Boreal Riparian Stringer Mixed Forest,Tree,Riparian,770,Riparian Stringer Forest and Shrubland,SAF 202: White Spruce-Paper Birch,Tree-dominated,Open Tree Canopy,Mixed,18,76,135,0.070588,0.298039,0.529412
4601,Micronesian Dry Cliff,4601,4601,Sps Micronesian Dry Cliff,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
